data,produto,categoria,estado,canal,vendas,quantidade,preco_unitario,custo,lucro,avaliacao_cliente
2024-04-12,Mouse Gamer,Periféricos,RJ,Marketplace,562.26,3,187.42,97.7,269.16,4.6
2024-05-01,Headset,Áudio,ES,MarketPlace,1124.08,4,281.02,144.77,545.0,3.8
2024-10-03,Teclado Mecânico,Periféricos,SP,Marketplace,2515.73,7,359.39,153.66,1440.11,4.3
2024-07-06,Webcam HD,Periféricos,SP,Marketplace,596.76,3,198.92,125.09,221.49,4.3
2024-02-24,Smartwatch,Telefonia,RJ,Loja Física,3908.08,4,977.02,666.26,1243.04,4.4
2024-11-24,Mouse Gamer,Periféricos,ES,Loja Física,527.4,3,175.8,91.57,252.69,4.8
2024-09-20,Webcam HD,Periféricos,PE,Loja Física,1082.8,5,216.56,131.63,424.65,3.1
2024-04-15,Webcam HD,Periféricos,ES,Marketplace,482.56,2,241.28,128.62,225.32,4.5
2024-07-20,Webcam HD,Periféricos,SC,Loja Física,770.79,3,256.93,122.13,404.4,3.3
2024-12-03,Caixa de Som,Áudio,PE,Online,3810.69,9,423.41,231.33,1728.72,4.4
2024-02-10,Notebook Pro,Informática,MG,Marketplace,8055.04,2,4027.52,3091.9,1871.24,3.9
2024-05-08,Smartwatch,Telefonia,PR,Online,5087.35,5,1017.47,684.88,1662.95,4.5
2024-09-17,Teclado Mecânico,Periféricos,ES,Online,1005.84,3,335.28,170.32,494.88,4.1
2024-03-02,Mouse Gamer,Periféricos,SP,Online,1169.49,7,167.07,99.76,471.17,4.3
2024-08-14,Mouse Gamer,Periféricos,PR,Online,853.55,5,170.71,97.06,368.25,4.9
2024-09-11,Tablet Plus,Telefonia,BA,Loja Física,4311.86,2,2155.93,1421.59,1468.68,3.9
2024-12-17,Caixa de Som,Áudio,GO,Loja Física,845.06,2,422.53,242.47,360.12,4.0
2024-08-18,Smartwatch,Telefonia,SP,Marketplace,7284.88,8,910.61,618.47,2337.12,3.8
2024-03-06,Headset,Áudio,PE,Online,278.57,1,278.57,149.05,129.52,3.8
2024-04-17,Tablet Plus,Telefonia,ES,Marketplace,12776.94,6,2129.49,1521.24,3649.5,4.3
2024-08-12,Mouse Gamer,Periféricos,RJ,Marketplace,966.72,6,161.12,90.04,426.48,3.8
2024-05-16,Monitor 27,Informática,BA,Loja Física,11457.68,8,1432.21,926.67,4044.32,3.6
2024-11-10,Monitor 27,Informática,SP,Online,8507.87,7,1215.41,924.55,2036.02,4.8
2024-02-21,Headset,Áudio,RS,Marketplace,1190.3,5,238.06,143.18,474.4,4.2
2024-03-21,Smartphone X,Telefonia,MG,Online,8343.45,3,2781.15,2255.86,1575.87,3.6
2024-05-05,Smartphone X,Telefonia,ES,Marketplace,7614.66,3,2538.22,2244.0,882.66,4.3
2024-05-02,Headset,Áudio,SP,Marketplace,1482.72,6,247.12,153.21,563.46,4.0
2024-08-27,Teclado Mecânico,Periféricos,GO,Marketplace,989.04,3,329.68,200.89,386.37,4.0
2024-09-15,Monitor 27,Informática,MG,Online,10859.38,7,1551.34,980.54,3995.6,4.0
2024-05-26,Smartwatch,Telefonia,BA,Marketplace,1858.98,2,929.49,644.4,570.18,4.3
2024-02-08,Webcam HD,Periféricos,ES,Marketplace,233.82,1,233.82,136.35,97.47,3.4
2024-12-11,Smartphone X,Telefonia,RJ,Loja Física,17307.72,6,2884.62,2107.92,4660.2,4.2
2024-06-08,Notebook Pro,Informática,PR,Online,4600.08,1,4600.08,3341.69,1258.39,3.8
2024-05-10,Headset,Áudio,SP,Loja Física,1128.64,4,282.16,157.69,497.88,4.8
2024-04-21,Tablet Plus,Telefonia,PR,Loja Física,7919.96,4,1979.99,1723.52,1025.88,4.2
2024-07-26,Caixa de Som,Áudio,SC,Marketplace,1134.12,3,378.04,223.62,463.26,3.5
2024-05-14,Caixa de Som,Áudio,MG,Online,848.94,2,424.47,238.75,371.44,5.0
2024-01-22,Teclado Mecânico,Periféricos,ES,Marketplace,1569.35,5,313.87,193.06,604.05,4.2
2024-10-12,Webcam HD,Periféricos,GO,Online,1575.0,6,262.5,127.09,812.46,4.4
2024-10-30,Tablet Plus,Telefonia,SC,Marketplace,2181.06,1,2181.06,1529.22,651.84,4.3
2024-08-20,Smartwatch,Telefonia,PR,Loja Física,3903.84,4,975.96,732.64,973.28,4.7
2024-07-06,Teclado Mecânico,Periféricos,GO,Online,679.78,2,339.89,191.29,297.2,4.0
2024-09-12,Mouse Gamer,Periféricos,RJ,Loja Física,176.14,1,176.14,101.25,74.89,3.8
2024-11-18,Teclado Mecânico,Periféricos,MG,Marketplace,971.82,3,323.94,180.63,429.93,3.5
2024-09-29,Smartwatch,Telefonia,PE,Loja Física,4340.8,4,1085.2,623.99,1844.84,3.2
2024-11-01,Smartwatch,Telefonia,SC,Marketplace,7456.86,6,1242.81,672.26,3423.3,4.5
2024-05-21,Caixa de Som,Áudio,GO,Online,1241.04,3,413.68,219.34,583.02,4.1
2024-08-02,Webcam HD,Periféricos,RJ,Marketplace,526.14,2,263.07,131.17,263.8,4.1
2024-10-31,Mouse Gamer,Periféricos,GO,Online,175.18,1,175.18,103.89,71.29,4.3
2024-04-17,Smartphone X,Telefonia,SP,Online,8545.47,3,2848.49,2105.74,2228.25,3.9
2024-02-16,Smartwatch,Telefonia,MG,Online,1964.2,2,982.1,598.99,766.22,3.3
2024-02-27,Notebook Pro,Informática,BA,Marketplace,9516.4,2,4758.2,3037.83,3440.74,3.9
2024-10-16,Teclado Mecânico,Periféricos,GO,Loja Física,629.52,2,314.76,182.93,263.66,5.0
2024-07-10,Headset,Áudio,GO,Marketplace,1970.36,7,281.48,136.33,1016.05,3.8
2024-05-23,Monitor 27,Informática,MG,Online,4258.32,3,1419.44,963.5,1367.82,3.9
2024-07-22,Teclado Mecânico,Periféricos,GO,Marketplace,696.16,2,348.08,202.82,290.52,3.8
2024-09-06,Notebook Pro,Informática,PE,Online,27867.72,6,4644.62,3076.12,9411.0,4.0
2024-09-06,Caixa de Som,Áudio,RJ,Loja Física,1654.36,4,413.59,256.68,627.64,4.2
2024-01-16,Smartphone X,Telefonia,BA,Loja Física,10662.2,4,2665.55,2108.8,2227.0,3.8
2024-12-05,Notebook Pro,Informática,ES,Marketplace,4630.26,1,4630.26,2985.59,1644.67,5.0
2024-06-27,Mouse Gamer,Periféricos,SP,Marketplace,981.8,5,196.36,97.86,492.5,4.5
2024-02-12,Caixa de Som,Áudio,SP,Marketplace,1852.85,5,370.57,227.13,717.2,3.8
2024-03-30,Teclado Mecânico,Periféricos,MG,Marketplace,597.78,2,298.89,201.07,195.64,4.0
2024-04-23,Caixa de Som,Áudio,GO,Loja Física,1997.95,5,399.59,241.22,791.85,4.3
2024-09-05,Headset,Áudio,GO,Marketplace,288.9,1,288.9,166.83,122.07,4.8
2024-04-08,Smartwatch,Telefonia,ES,Marketplace,857.24,1,857.24,623.9,233.34,4.5
2024-07-08,Monitor 27,Informática,BA,Online,1492.12,1,1492.12,1047.29,444.83,4.6
2024-12-20,Smartphone X,Telefonia,RS,Marketplace,19632.9,7,2804.7,2185.93,4331.39,3.9
2024-06-25,Caixa de Som,Áudio,SP,Loja Física,1262.1,3,420.7,231.43,567.81,4.1
2024-02-21,Monitor 27,Informática,SP,Online,12588.56,8,1573.57,874.63,5591.52,4.0
2024-01-25,Notebook Pro,Informática,PE,Marketplace,4290.49,1,4290.49,3437.34,853.15,4.2
2024-08-26,Monitor 27,Informática,PE,Loja Física,5538.44,4,1384.61,931.65,1811.84,4.1
2024-01-07,Notebook Pro,Informática,SP,Marketplace,8142.3,2,4071.15,3264.83,1612.64,3.9
2024-07-12,Notebook Pro,Informática,ES,Loja Física,20198.0,5,4039.6,2976.45,5315.75,4.6
2024-10-01,Notebook Pro,Informática,PR,Loja Física,18782.88,4,4695.72,3259.52,5744.8,3.9
2024-02-08,Webcam HD,Periféricos,ES,Online,231.89,1,231.89,141.26,90.63,3.3
2024-05-27,Caixa de Som,Áudio,ES,Marketplace,2484.3,6,414.05,236.8,1063.5,4.0
2024-07-09,Teclado Mecânico,Periféricos,PE,Marketplace,318.84,1,318.84,152.31,166.53,4.5
2024-02-27,Caixa de Som,Áudio,ES,Online,1171.17,3,390.39,231.35,477.12,3.9
2024-01-20,Smartwatch,Telefonia,ES,Loja Física,1753.0,2,876.5,706.03,340.94,3.7
2024-01-12,Mouse Gamer,Periféricos,SC,Online,353.24,2,176.62,89.37,174.5,4.0
2024-06-12,Smartwatch,Telefonia,SC,Online,910.04,1,910.04,620.39,289.65,4.3
2024-02-10,Notebook Pro,Informática,SP,Loja Física,14568.8,4,3642.2,3421.36,883.36,3.3
2024-08-27,Smartwatch,Telefonia,PR,Loja Física,5311.15,5,1062.23,677.31,1924.6,3.9
2024-08-29,Monitor 27,Informática,ES,Loja Física,1471.99,1,1471.99,1062.3,409.69,3.8
2024-05-25,Webcam HD,Periféricos,RS,Loja Física,265.99,1,265.99,129.11,136.88,4.6
2024-04-08,Smartwatch,Telefonia,MG,Online,3652.76,4,913.19,713.92,797.08,4.3
2024-09-15,Caixa de Som,Áudio,ES,Loja Física,2398.5,6,399.75,225.68,1044.42,3.3
2024-12-31,Caixa de Som,Áudio,GO,Loja Física,1082.37,3,360.79,234.6,378.57,3.9
2024-10-14,Notebook Pro,Informática,GO,Loja Física,12170.55,3,4056.85,3337.24,2158.83,4.0
2024-11-01,Mouse Gamer,Periféricos,ES,Loja Física,983.05,5,196.61,100.85,478.8,4.1
2024-11-08,Smartwatch,Telefonia,RS,Online,3428.94,3,1142.98,704.47,1315.53,4.0
2024-03-06,Monitor 27,Informática,SC,Loja Física,5823.0,4,1455.75,1074.7,1524.2,4.6
2024-11-30,Teclado Mecânico,Periféricos,SC,Loja Física,1898.94,6,316.49,182.16,805.98,3.0
2024-11-30,Smartwatch,Telefonia,BA,Online,6760.88,8,845.11,583.57,2092.32,4.2
2024-03-09,Headset,Áudio,SC,Marketplace,1073.52,4,268.38,160.1,433.12,3.4
2024-08-27,Webcam HD,Periféricos,RS,Loja Física,"R$ 801,60",4,200.4,148.27,208.52,3.5
2024-01-08,Monitor 27,Informática,BA,Loja Física,6720.95,5,1344.19,1038.63,1527.8,3.9
2024-06-03,Notebook Pro,Informática,PE,Marketplace,4369.36,1,4369.36,3001.37,1367.99,3.6
2024-11-12,Webcam HD,Periféricos,RJ,Marketplace,1383.72,6,230.62,113.26,704.16,4.2
2024-02-15,Smartphone X,Telefonia,RJ,Loja Física,9154.6,4,2288.65,2087.15,806.0,4.0
2024-09-05,Tablet Plus,Telefonia,RS,Marketplace,14468.09,7,2066.87,1435.98,4416.23,4.0
2024-02-17,Webcam HD,Periféricos,MG,Loja Física,707.28,3,235.76,134.79,302.91,4.3
2024-09-09,Webcam HD,Periféricos,SP,Loja Física,1230.3,5,246.06,129.73,581.65,4.0
2024-01-28,Mouse Gamer,Periféricos,PE,Loja Física,296.86,2,148.43,99.85,97.16,3.6
2024-04-20,Monitor 27,Informática,SC,Loja Física,6102.08,4,1525.52,911.22,2457.2,3.3
2024-07-10,Tablet Plus,Telefonia,ES,Marketplace,1861.06,1,1861.06,1489.87,371.19,3.5
2024-10-26,Tablet Plus,Telefonia,RJ,Marketplace,5698.59,3,1899.53,1347.57,1655.88,3.8
2024-08-20,Mouse Gamer,Periféricos,SC,Marketplace,359.9,2,179.95,108.53,142.84,4.5
2024-09-20,Tablet Plus,Telefonia,PE,Marketplace,14602.02,6,2433.67,1408.35,6151.92,3.5
2024-06-28,Smartphone X,Telefonia,BA,Loja Física,16138.55,5,3227.71,1923.78,6519.65,4.3
2024-05-29,Smartphone X,Telefonia,ES,Online,5036.04,2,2518.02,2249.79,536.46,4.2
2024-11-13,Smartwatch,Telefonia,MG,Marketplace,6727.28,7,961.04,720.01,1687.21,4.0
2024-03-02,Headset,Áudio,RS,Online,1102.52,4,275.63,134.98,562.6,4.4
2024-10-26,Mouse Gamer,Periféricos,RJ,Online,378.4,2,189.2,96.23,185.94,5.0
2024-01-01,Tablet Plus,Telefonia,PE,Loja Física,2234.02,1,2234.02,1444.06,789.96,4.1
2024-12-21,Mouse Gamer,Periféricos,GO,Loja Física,934.44,6,155.74,90.74,390.0,3.0
2024-09-17,Webcam HD,Periféricos,BA,Loja Física,1144.6,5,228.92,136.52,462.0,3.5
2024-09-29,Smartphone X,Telefonia,SP,Loja Física,10282.64,4,2570.66,2262.34,1233.28,4.2
2024-04-04,Smartphone X,Telefonia,BA,Loja Física,11280.08,4,2820.02,2161.49,2634.12,4.7
2024-11-15,Caixa de Som,Áudio,GO,Marketplace,2433.12,6,405.52,240.53,989.94,4.3
2024-10-17,Headset,Áudio,PE,Marketplace,1004.96,4,251.24,152.61,394.52,4.9
2024-05-11,Webcam HD,Periféricos,rj,Marketplace,1243.32,6,207.22,126.09,486.78,4.9
2024-04-13,Webcam HD,Periféricos,BA,Marketplace,394.36,2,197.18,138.2,117.96,3.6
2024-05-22,Mouse Gamer,Periféricos,MG,Online,194.36,1,194.36,98.91,95.45,3.1
2024-11-04,Mouse Gamer,Periféricos,SP,Marketplace,1337.7,7,191.1,86.57,731.71,4.5
2024-01-15,Webcam HD,Periféricos,MG,Online,1040.96,4,260.24,133.74,506.0,4.9
2024-06-05,Headset,Áudio,PE,Loja Física,484.64,2,242.32,157.47,169.7,3.6
2024-09-10,Smartphone X,Telefonia,ES,Marketplace,10385.4,4,2596.35,2306.9,1157.8,4.0
2024-04-27,Headset,Áudio,GO,Online,1504.5,6,250.75,146.15,627.6,4.0
2024-11-27,Headset,Áudio,RJ,Loja Física,2412.72,8,301.59,156.46,1161.04,4.7
2024-05-27,Smartwatch,Telefonia,BA,Loja Física,1063.7,1,1063.7,675.52,388.18,4.0
2024-08-05,Notebook Pro,Informática,PR,Loja Física,20352.96,4,5088.24,3062.27,8103.88,4.0
2024-11-11,Headset,Áudio,MG,Marketplace,792.78,3,264.26,144.58,359.04,4.6
2024-02-20,Caixa de Som,Áudio,GO,Marketplace,1179.36,3,393.12,228.75,493.11,4.4
2024-10-28,Smartwatch,Telefonia,GO,Loja Física,1824.7,2,912.35,666.33,492.04,3.8
2024-01-01,Mouse Gamer,Periféricos,SP,Marketplace,978.8,5,195.76,85.35,552.05,4.7
2024-11-04,Teclado Mecânico,Periféricos,GO,Loja Física,2135.56,7,305.08,189.2,811.16,3.0
2024-03-15,Smartphone X,Telefonia,PE,Marketplace,8942.58,3,2980.86,2205.91,2324.85,4.0
2024-05-07,Teclado Mecânico,Periféricos,SC,Loja Física,844.56,3,281.52,177.35,312.51,3.9
2024-06-28,Notebook Pro,Informática,BA,Online,20735.9,5,4147.18,3300.97,4231.05,3.4
2024-05-29,Notebook Pro,Informática,PR,Loja Física,7959.76,2,3979.88,3182.84,1594.08,4.0
2024-12-26,Monitor 27,Informática,SP,Online,7929.84,6,1321.64,1131.31,1141.98,4.2
2024-05-20,Webcam HD,Periféricos,SC,Marketplace,203.3,1,203.3,125.58,77.72,4.5
2024-06-06,Teclado Mecânico,Periféricos,ES,Loja Física,2333.28,8,291.66,195.0,773.28,2.8
2024-04-22,Teclado Mecânico,Periféricos,SC,Loja Física,1601.52,6,266.92,176.3,543.72,3.8
2024-02-24,Teclado Mecânico,Periféricos,PR,online,1000.53,3,333.51,189.0,433.53,3.6
2024-03-27,Monitor 27,Informática,BA,Loja Física,4706.46,3,1568.82,884.6,2052.66,4.2
2024-09-11,Mouse Gamer,Periféricos,SC,Loja Física,374.1,2,187.05,88.03,198.04,4.3
2024-10-17,Caixa de Som,Áudio,ES,Loja Física,1803.3,5,360.66,233.24,637.1,4.1
2024-06-13,Caixa de Som,Áudio,PR,Online,1071.03,3,357.01,221.67,406.02,4.1
2024-11-25,Monitor 27,Informática,ES,Loja Física,1654.7,1,1654.7,907.0,747.7,3.6
2024-07-13,Monitor 27,Informática,SC,Online,1520.3,1,1520.3,904.71,615.59,5.0
2024-08-09,Headset,Áudio,SP,Online,1767.43,7,252.49,146.8,739.83,4.3
2024-06-06,Smartphone X,Telefonia,GO,Online,13965.35,5,2793.07,2057.7,3676.85,4.8
2024-04-24,Webcam HD,Periféricos,PR,Loja Física,1691.76,7,241.68,123.8,825.16,4.7
2024-07-19,Mouse Gamer,Periféricos,BA,Loja Física,532.05,3,177.35,95.11,246.72,4.2
2024-04-18,Tablet Plus,Telefonia,BA,Loja Física,13760.64,6,2293.44,1561.22,4393.32,4.6
2024-02-11,Mouse Gamer,Periféricos,PE,Online,187.95,1,187.95,106.43,81.52,4.5
2024-03-16,Smartphone X,Telefonia,PR,Online,12080.48,4,3020.12,2309.85,2841.08,4.7
2024-06-21,Tablet Plus,Telefonia,GO,Loja Física,4584.08,2,2292.04,1511.06,1561.96,4.7
2024-05-09,Smartwatch,Telefonia,PE,Loja Física,4474.2,5,894.84,657.28,1187.8,3.7
2024-10-08,Headset,Áudio,RJ,Marketplace,1544.46,6,257.41,156.73,604.08,4.7
2024-11-05,Smartwatch,Telefonia,,Marketplace,9268.5,10,926.85,653.72,2731.3,4.1
2024-10-15,Webcam HD,Periféricos,ES,Online,827.92,4,206.98,132.21,299.08,4.1
2024-12-02,Smartwatch,Telefonia,SP,Marketplace,10369.7,11,942.7,694.82,2726.68,3.7
2024-03-13,Smartphone X,Telefonia,PE,Online,10899.96,4,2724.99,2348.85,1504.56,4.2
2024-02-11,Mouse Gamer,Periféricos,BA,Marketplace,357.82,2,178.91,93.25,171.32,3.7
2024-10-31,Headset,Áudio,SC,Online,255.29,1,255.29,159.58,95.71,4.3
2024-09-20,Smartwatch,Telefonia,BA,Marketplace,6014.22,6,1002.37,682.67,1918.2,4.6
2024-07-18,Teclado Mecânico,Periféricos,ES,Online,832.44,3,277.48,184.64,278.52,4.3
2024-10-08,Smartwatch,Telefonia,MG,Marketplace,4800.85,5,960.17,667.42,1463.75,3.9
2024-11-10,Tablet Plus,Telefonia,BA,Online,11072.45,5,2214.49,1552.63,3309.3,4.2
2024-04-12,Webcam HD,Periféricos,RJ,Online,924.48,4,231.12,126.61,418.04,4.1
2024-04-07,Headset,Áudio,ES,Online,843.24,3,281.08,131.28,449.4,3.6
2024-02-08,Tablet Plus,Telefonia,PE,Marketplace,7103.24,4,1775.81,1489.5,1145.24,4.5
2024-07-28,Smartphone X,Telefonia,RS,Online,2963.42,1,2963.42,2072.52,890.9,4.6
2024-08-14,Caixa de Som,Áudio,ES,Marketplace,1269.72,3,423.24,222.86,601.14,4.6
2024-09-01,Caixa de Som,Áudio,MG,Marketplace,3327.39,9,369.71,220.65,1341.54,3.3
2024-12-24,Mouse Gamer,Periféricos,BA,Marketplace,1459.44,8,182.43,94.95,699.84,3.9
2024-06-06,Tablet Plus,Telefonia,PR,Loja Física,8900.0,4,2225.0,1402.01,3291.96,4.3
2024-03-13,Monitor 27,Informática,BA,Loja Física,4042.65,3,1347.55,941.87,1217.04,4.4
2024-07-16,Monitor 27,Informática,MG,Loja Física,7370.4,5,1474.08,971.23,2514.25,3.7
2024-12-14,Notebook Pro,Informática,ES,Online,33212.83,7,4744.69,2807.99,13556.9,4.2
2024-08-13,Tablet Plus,Telefonia,SP,Online,8330.08,4,2082.52,1597.92,1938.4,4.7
2024-08-02,Smartwatch,Telefonia,PE,Loja Física,5439.72,6,906.62,617.54,1734.48,4.2
2024-06-08,Smartwatch,Telefonia,RS,Online,6295.73,7,899.39,562.42,2358.79,3.8
2024-05-02,Monitor 27,Informática,MG,Marketplace,7878.5,5,1575.7,929.99,3228.55,4.0
2024-05-03,Notebook Pro,Informática,SP,Online,7908.82,2,3954.41,3093.84,1721.14,5.0
2024-02-06,Monitor 27,Informática,MG,Marketplace,6634.7,5,1326.94,775.33,2758.05,3.6
2024-12-14,Webcam HD,Periféricos,RS,Loja Física,1282.85,5,256.57,134.25,611.6,4.9
2024-08-24,Webcam HD,Periféricos,ES,Loja Física,1092.96,4,273.24,127.05,584.76,4.2
2024-02-28,Caixa de Som,Áudio,MG,Online,2061.55,5,412.31,236.93,876.9,4.6
2024-06-18,Webcam HD,Periféricos,GO,Marketplace,683.73,3,227.91,131.52,289.17,3.9
2024-02-14,Smartphone X,Telefonia,RS,Marketplace,8498.58,3,2832.86,2252.02,1742.52,3.6
2024-03-22,Webcam HD,Periféricos,SC,Marketplace,990.76,4,247.69,128.24,477.8,4.0
2024-08-11,Caixa de Som,Áudio,MG,Marketplace,1485.76,4,371.44,216.32,620.48,4.1
2024-12-19,Caixa de Som,Áudio,RS,Online,2744.94,6,457.49,225.75,1390.44,4.3
2024-03-14,Monitor 27,Informática,BA,Marketplace,8535.48,6,1422.58,910.3,3073.68,3.8
2024-02-06,Caixa de Som,Áudio,ES,Online,792.12,2,396.06,244.82,inf,3.7
2024-07-11,Caixa de Som,Áudio,SP,Marketplace,1348.86,3,449.62,245.23,613.17,4.8
2024-01-07,Headset,Áudio,ES,Online,1252.5,5,250.5,148.98,507.6,3.6
2024-01-04,Smartphone X,Telefonia,PR,Marketplace,2307.47,1,2307.47,2155.44,152.03,3.8
2024-06-05,Mouse Gamer,Periféricos,MG,Loja Física,864.4,5,172.88,90.88,410.0,4.3
2024-01-27,Monitor 27,Informática,SC,Marketplace,1384.27,1,1384.27,1048.41,335.86,3.6
2024-06-10,Teclado Mecânico,Periféricos,ES,Loja Física,356.96,1,356.96,179.11,177.85,4.5
2024-03-12,Smartwatch,Telefonia,SC,Online,2740.17,3,913.39,713.43,599.88,3.1
2024-07-17,Webcam HD,Periféricos,RS,Online,246.21,1,246.21,139.74,106.47,4.4
2024-06-01,Notebook Pro,Informática,ES,Online,4403.67,1,4403.67,2823.46,1580.21,4.3
2024-11-14,Smartwatch,Telefonia,PE,Marketplace,2075.5,2,1037.75,593.32,888.86,4.9
2024-03-04,Notebook Pro,Informática,PE,Online,12574.41,3,4191.47,3067.82,3370.95,3.9
2024-12-31,Caixa de Som,Áudio,RJ,Online,3305.2,8,413.15,242.97,1361.44,
2024-02-10,Headset,Áudio,SC,Online,707.73,3,235.91,163.53,217.14,4.6
2024-07-20,Webcam HD,Periféricos,GO,Marketplace,675.03,3,225.01,126.33,296.04,4.5
2024-04-12,Monitor 27,Informática,RS,Loja Física,5306.92,4,1326.73,1038.15,1154.32,4.3
2024-04-15,Headset,Áudio,SC,Online,1675.38,6,279.23,150.54,772.14,3.9
2024-07-22,Notebook Pro,Informática,SC,Online,17715.88,4,4428.97,2992.22,5747.0,4.7
2024-09-07,Smartwatch,Telefonia,MG,Online,7475.2,8,934.4,734.08,1602.56,4.7
2024-01-22,Teclado Mecânico,Periféricos,PE,Marketplace,2116.52,7,302.36,198.75,725.27,4.1
2024-01-12,Notebook Pro,Informática,SC,Marketplace,8074.82,2,4037.41,3040.42,1993.98,4.2
2024-02-24,Tablet Plus,Telefonia,RJ,Loja Física,14460.04,7,2065.72,1532.7,3731.14,4.5
2024-10-14,Smartwatch,Telefonia,MG,Online,9426.6,10,942.66,613.6,3290.6,4.5
2024-12-17,Teclado Mecânico,Periféricos,RJ,Online,1996.05,5,399.21,178.1,1105.55,3.9
